"Emails","Como você avalia a sua experiência na tela de Personalização de Ofertas?","","","","","Qual o motivo da sua nota?","Timestamp","URL","Country","Device","OS","Browser","Visitor Attributes"
"","Muito Insatisfeito","Insatisfeito","Neutro","Satisfeito","Muito Satisfeito","",""
"n/a","","","","","Y","atendendo","24/09/24 11:29","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/HRh0OHiHyFqMmPIqrsBRMw/2/0/1","","","","",""""""
"n/a","","Y","","","","sem opção de ajustar o tipo de seguro que você quer e ","24/09/24 11:29","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/hEd+YQto4C2JzyydAuxsdw/4/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 11:29","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/dyZA64mwJxXgtHckhl_DKw/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","confuso","24/09/24 11:28","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/SWby1HKjkIHYQgcIjo3AkA/2/0/1","","","","",""""""
"n/a","Y","","","","","Instabilidade, mudança de premio, dificuldade de alterar informações, erro em endossos.","24/09/24 11:28","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/JLsY8maCi8xIwJCl5AZSQA/1/3/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:27","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/w8GBViMhNCYa+h+hlRVvZA/1/6/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 11:27","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/wGFXoeed0d3w+ws8YZCgpQ/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:26","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+Hbe2+nvAAWmGR8K6XPxxw/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 11:26","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/1zhaGQWJjIDrpwA98YNn7g/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 11:26","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/XBS1Ds_pe5+OxInW4qdVng/1/16/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:26","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/DtEZ3zezRAeKIi5QX7cBLQ/1/0/1","","","","",""""""
"n/a","","","","Y","","8","24/09/24 11:25","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/88F4MfVydVqEt0KyehfBrg/1/3/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","O sistema é muito ágil e as informações são bem detalhadas e de fácil acesso","24/09/24 11:25","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/GNihEg82I2qwSjKmmHbbUQ/2/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:24","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/99w7WlUzKk1uttMEowh7tQ/1/0/1","Brazil","Other","Windows","Chrome",""""""
